id,salesPower,managementPower,pioneeringPower,trainingPower,laborCost
E001,8.5,7.0,6.5,5.0,5000000
E002,7.2,8.5,5.5,6.0,4800000
E003,9.0,6.5,7.0,7.5,5200000
E004,6.8,7.5,8.0,6.5,4600000
E005,7.8,6.5,9.0,5.5,4900000
E006,8.2,7.8,6.0,7.0,5100000
E007,7.5,8.2,7.5,6.5,4700000
E008,9.2,6.8,8.5,7.0,5300000
E009,6.5,7.0,6.8,8.0,4500000
E010,8.8,7.5,7.0,6.0,5150000
E011,7.3,6.8,8.5,7.5,4650000
E012,8.5,8.0,6.5,5.5,5050000
E013,6.9,7.2,7.8,6.8,4550000
E014,9.0,6.5,8.0,7.0,5250000
E015,7.6,7.8,6.0,6.5,4750000
E016,8.0,7.0,7.5,8.0,4950000
E017,7.2,8.5,9.0,5.5,4850000
E018,8.7,6.8,7.2,7.5,5200000
E019,6.8,7.5,6.5,7.0,4600000
E020,8.3,7.2,8.0,6.0,5100000
E021,7.4,8.0,7.0,6.5,4700000
E022,9.1,6.5,7.5,7.0,5300000
E023,6.7,7.8,8.5,5.5,4550000
E024,8.6,7.0,6.0,7.5,5150000
E025,7.5,7.5,7.5,6.5,4800000
E026,8.1,7.2,8.0,7.0,4950000
E027,7.0,8.2,6.5,6.0,4650000
E028,8.9,6.8,7.0,7.5,5250000
E029,6.6,7.0,8.0,5.5,4500000
E030,8.4,7.8,7.5,6.5,5100000
E031,7.7,6.5,6.0,8.0,4850000
E032,8.2,7.5,8.5,6.0,5000000
E033,6.8,8.0,7.0,7.0,4600000
E034,8.8,6.8,6.5,5.5,5200000
E035,7.3,7.2,8.0,7.5,4700000
E036,8.5,7.8,7.5,6.5,5050000
E037,7.1,7.0,6.0,7.0,4650000
E038,9.0,8.5,8.0,6.0,5250000
E039,6.9,6.5,7.5,7.5,4550000
E040,8.7,7.5,6.5,6.0,5150000
E041,7.4,7.2,8.5,7.0,4800000
E042,8.3,8.0,7.0,6.5,4950000
E043,6.6,7.8,6.0,5.5,4500000
E044,8.6,6.8,8.0,7.5,5100000
E045,7.8,7.5,7.5,6.0,4900000
E046,8.1,7.0,6.5,7.0,5000000
E047,7.2,8.2,8.5,6.5,4750000
E048,8.9,6.5,7.0,5.5,5200000
E049,6.7,7.8,6.0,7.5,4550000
E050,8.4,7.2,8.0,6.0,5100000
E051,7.5,8.0,7.5,7.0,4850000
E052,8.2,6.8,6.0,6.5,4950000
E053,7.0,7.5,8.5,5.5,4650000
E054,8.8,7.0,7.0,7.5,5150000
E055,6.8,8.5,6.5,6.0,4600000
E056,8.5,6.5,8.0,7.0,5050000
E057,7.3,7.2,7.5,6.5,4700000
E058,8.7,7.8,6.0,5.5,5200000
E059,6.9,7.0,8.0,7.5,4550000
E060,8.3,8.0,6.5,6.0,5100000
E061,7.6,6.8,8.5,7.0,4900000
E062,8.0,7.5,7.0,6.5,4950000
E063,7.4,7.0,6.0,5.5,4700000
E064,8.6,8.2,8.0,7.5,5150000
E065,7.1,6.5,7.5,6.0,4650000
E066,8.9,7.2,6.5,7.0,5250000
E067,6.7,7.8,8.0,6.5,4550000
E068,8.4,7.0,7.0,5.5,5100000
E069,7.8,8.0,6.0,7.5,4900000
E070,8.2,6.8,8.5,6.0,5000000
E071,7.2,7.5,7.5,7.0,4750000
E072,8.7,7.0,6.0,6.5,5200000
E073,6.8,8.5,8.0,5.5,4600000
E074,8.5,6.5,7.0,7.5,5050000
E075,7.5,7.2,6.5,6.0,4800000
E076,8.3,7.8,8.0,7.0,4950000
E077,7.0,7.0,7.5,6.5,4650000
E078,8.8,8.0,6.0,5.5,5200000
E079,6.6,6.8,8.5,7.5,4500000
E080,8.4,7.5,7.0,6.0,5100000
E081,7.7,7.0,6.0,7.0,4850000
E082,8.1,8.2,8.0,6.5,5000000
E083,7.3,6.5,7.5,5.5,4700000
E084,8.6,7.2,6.5,7.5,5150000
E085,6.9,7.8,8.0,6.0,4550000
E086,8.5,7.0,7.0,7.0,5050000
E087,7.4,8.0,6.0,6.5,4700000
E088,8.2,6.8,8.5,5.5,4950000
E089,7.1,7.5,7.5,7.5,4650000
E090,8.9,7.0,6.5,6.0,5200000
E091,6.8,8.5,8.0,7.0,4600000
E092,8.4,6.5,7.0,6.5,5100000
E093,7.6,7.2,6.0,5.5,4850000
E094,8.0,7.8,8.5,7.5,4950000
E095,7.2,7.0,7.5,6.0,4700000
E096,8.7,8.0,6.0,7.0,5200000
E097,6.7,6.8,8.0,6.5,4550000
E098,8.3,7.5,7.0,5.5,5100000
E099,7.5,7.0,6.5,7.5,4900000
E100,8.5,8.2,8.0,6.0,5050000
